"PRCP","num"
0,10056.8367346939
0.01,10380.7692307692
0.02,9836.42857142857
0.03,10501.2
0.04,7754.6
0.05,6637
0.06,8321
0.07,5953
0.08,11241
0.09,6262.25
0.11,3924
0.12,8277.66666666667
0.13,5450.75
0.14,11228.5
0.15,2754
0.19,8313.33333333333
0.2,7653.5
0.21,4343
0.22,7519
0.23,10334
0.24,10078
0.25,4589
0.26,7454.5
0.27,4624
0.28,4791
0.29,9421.33333333333
0.31,9867
0.35,3244
0.36,8890
0.37,11777.6666666667
0.38,8176
0.41,5984
0.42,7753.5
0.48,9894
0.49,3309
0.5,1566
0.52,6443
0.55,11034
0.58,7393
0.59,7707
0.6,1409
0.61,3566
0.64,4069
0.65,2689
0.68,2585
0.71,628
0.72,9221.5
0.73,941
0.75,4882
0.88,8668
0.9,11359
0.94,5198
0.99,10022
1.03,3876
1.05,9489
1.16,9612
1.25,8725
1.35,7831
1.48,7563
1.6,1535
1.96,2053
3.44,8418
