"","PRCP","workdays","num"
"1",0,"Non-workdays",9509.96103896104
"2",0,"Workdays",10307.4880952381
"3",0.01,"Non-workdays",9829
"4",0.01,"Workdays",10426.75
"5",0.02,"Workdays",9836.42857142857
"6",0.03,"Non-workdays",12052
"7",0.03,"Workdays",10113.5
"8",0.04,"Non-workdays",7838.66666666667
"9",0.04,"Workdays",7628.5
"10",0.05,"Non-workdays",7226.5
"11",0.05,"Workdays",6047.5
"12",0.06,"Workdays",8321
"13",0.07,"Non-workdays",5606
"14",0.07,"Workdays",6300
"15",0.08,"Workdays",11241
"16",0.09,"Workdays",6262.25
"17",0.11,"Non-workdays",3924
"18",0.12,"Non-workdays",6770.5
"19",0.12,"Workdays",11292
"20",0.13,"Non-workdays",4906
"21",0.13,"Workdays",5995.5
"22",0.14,"Workdays",11228.5
"23",0.15,"Non-workdays",2754
"24",0.19,"Non-workdays",2590
"25",0.19,"Workdays",11175
"26",0.2,"Workdays",7653.5
"27",0.21,"Non-workdays",3991
"28",0.21,"Workdays",4695
"29",0.22,"Workdays",7519
"30",0.23,"Non-workdays",10334
"31",0.24,"Non-workdays",11289.5
"32",0.24,"Workdays",7655
"33",0.25,"Non-workdays",4589
"34",0.26,"Workdays",7454.5
"35",0.27,"Workdays",4624
"36",0.28,"Non-workdays",4791
"37",0.29,"Workdays",9421.33333333333
"38",0.31,"Workdays",9867
"39",0.35,"Workdays",3244
"40",0.36,"Workdays",8890
"41",0.37,"Non-workdays",14618
"42",0.37,"Workdays",10357.5
"43",0.38,"Workdays",8176
"44",0.41,"Non-workdays",7383.5
"45",0.41,"Workdays",3185
"46",0.42,"Non-workdays",4730
"47",0.42,"Workdays",10777
"48",0.48,"Workdays",9894
"49",0.49,"Non-workdays",3309
"50",0.5,"Non-workdays",1566
"51",0.52,"Non-workdays",2309
"52",0.52,"Workdays",10577
"53",0.55,"Non-workdays",11034
"54",0.58,"Workdays",7393
"55",0.59,"Workdays",7707
"56",0.6,"Non-workdays",1409
"57",0.61,"Non-workdays",3566
"58",0.64,"Workdays",4069
"59",0.65,"Non-workdays",2689
"60",0.68,"Workdays",2585
"61",0.71,"Non-workdays",628
"62",0.72,"Non-workdays",10172
"63",0.72,"Workdays",8271
"64",0.73,"Workdays",941
"65",0.75,"Workdays",4882
"66",0.88,"Workdays",8668
"67",0.9,"Workdays",11359
"68",0.94,"Non-workdays",5198
"69",0.99,"Workdays",10022
"70",1.03,"Workdays",3876
"71",1.05,"Workdays",9489
"72",1.16,"Workdays",9612
"73",1.25,"Workdays",8725
"74",1.35,"Workdays",7831
"75",1.48,"Non-workdays",7563
"76",1.6,"Non-workdays",1535
"77",1.96,"Workdays",2053
"78",3.44,"Workdays",8418
